question,reference,prediction,topic,rougeL,ref_len,pred_len,len_ratio
Mẫu máu giúp bác sĩ kiểm tra điều gì?,"Lượng cholesterol cao, các chất lipid khác, lượng đường trong máu, và chức năng thận.","Mẫu máu giúp bác sĩ kiểm tra lượng cholesterol cao, các chất lipid khác, lượng đường trong máu và những yếu tố khác có thể tác động đến chức năng thận.",1,0.6575342465753424,15,31,2.066666666528889
Xạ trị được tiến hành như thế nào?,"Xạ trị được tiến hành thông qua một máy xạ trị lớn bên ngoài cơ thể. Đối với xạ trị toàn bộ não bộ, thường bệnh nhân sẽ có những đợt xạ trị. Mỗi đợt thường kéo dài hơn 1 hoặc 2 tuần. Việc chia nhỏ số lần xạ trị tạo nhiều thời gian cho tế bào phục hồi giữa các lần điều trị.",Xạ trị được tiến hành thông qua máy xạ trị lớn bên ngoài cơ thể.,1,0.36666666666666664,64,15,0.23437499999633787
Nẹp mềm thường được sử dụng để điều trị loạn sản khớp háng ở trẻ em nào?,Trẻ sơ sinh và trẻ nhỏ dưới 6 tháng tuổi.,Nẹp mềm thường được sử dụng để điều trị loạn sản khớp háng ở trẻ sơ sinh và trẻ sơ sinh.,1,0.24390243902439027,10,21,2.09999999979
Chất nền ngoại bào ở u xơ cơ tử cung có đặc điểm gì?,Chất nền ngoại bào ở u xơ cơ tử cung tăng và chứa nhiều yếu tố tăng trưởng tế bào.,Chất nền ngoại bào ở u xơ cơ tử cung là nguyên liệu kết dính các tế bào cơ trở thành một khối xơ dính. Chất nền ngoại bào tăng trong u xơ cơ tử cung và cũng chứa các yếu tố tăng trưởng tế bào.,1,0.5544554455445544,20,46,2.299999999885
Khi sử dụng thuốc Diane-35 có thể gặp tác dụng phụ nào ảnh hưởng đến đời sống tình dục không?,Thuốc Diane-35 có thể gây ra tác dụng phụ làm giảm ham muốn tình dục.,"Thuốc Diane-35 có thể gây ra các tác dụng phụ ảnh hưởng đến đời sống tình dục như buồn nôn, đau bụng, tăng cân, đau đầu, trầm cảm, thay đổi khí sắc, đau và căng tức vú, tiêu chảy, đau nửa đầu Migraine, giảm ham muốn tình dục, teo tuyến vú, nổi ban, mề đay...",2,0.4403669724770642,15,55,3.666666666422222
Thoái hóa cột sống cổ thường xảy ra ở những đốt sống nào?,Các đốt sống phổ biến nhất bị ảnh hưởng bởi thoái hóa cột sống cổ là đoạn đốt sống C5 – C6 – C7.,Thoái hóa cột sống cổ thường gây đau cổ và cứng khớp.,1,0.37037037037037035,24,12,0.49999999997916666
Mối liên hệ giữa suy nghĩ tích cực và độ pH cơ thể là gì?,Suy nghĩ tích cực giúp duy trì tính kiềm trong cơ thể.,"Suy nghĩ tích cực giúp cơ thể khỏe mạnh, ngoài chế độ ăn uống khoa học, duy trì suy nghĩ tích cực, lạc quan, yêu đời.",0,0.44444444444444453,12,26,2.166666666486111
"Theo khuyến cáo, người dùng nên làm gì trước khi sử dụng thuốc Benda?","Theo khuyến cáo, người dùng nên tham khảo ý kiến của bác sĩ trước khi sử dụng thuốc Benda để đảm bảo an toàn và hiệu quả.",Người dùng nên đọc kỹ hướng dẫn trước khi sử dụng thuốc Benda.,2,0.5245901639344264,27,13,0.48148148146364883
Hội chứng Jacobs là tình trạng bệnh lý gì?,Hội chứng Jacobs là một bệnh lý rối loạn di truyền hiếm gặp.,Hội chứng Jacobs là một bệnh lý rối loạn di truyền hiếm gặp và cần sử dụng đến các xét nghiệm để có thể chẩn đoán bệnh.,1,0.676923076923077,13,27,2.076923076763314
"Ngoài thời tiết, những yếu tố nào làm tình trạng bệnh cước trở nên nặng hơn?","Bệnh mạch máu ngoại biên, thiếu cân, suy dinh dưỡng, thay đổi nội tiết tố, bệnh mô liên kết, rối loạn tủy xương, mặc quần áo mang giày quá bó sát trong thời tiết lạnh, ẩm ướt.","Mặc quần áo mang giày quá bó sát trong thời tiết lạnh, ẩm ướt.",1,0.5121951219512195,37,14,0.37837837836815197
Trong trường hợp nào thì không nên sử dụng thuốc Biafine?,Thuốc Biafine không nên sử dụng trong trường hợp dị ứng với trolamin hoặc dị ứng với bất cứ thành phần nào khác có trong công thức của thuốc.,Không nên sử dụng thuốc Biafine nếu vết thương đang bị nhiễm trùng.,2,0.34782608695652173,29,13,0.4482758620535077
"Về bệnh tăng sản thượng thận dạng nốt nguyên phát, bệnh có liên quan đến thay đổi di truyền ở gen APC có các đặc điểm gì?","Bệnh tăng sản thượng thận dạng nốt nguyên phát liên quan đến thay đổi di truyền ở gen APC là một bệnh u lành tính của tuyến thượng thận. Bệnh thường gặp ở trẻ em và thanh thiếu niên, hiếm gặp ở người lớn. Bệnh có thể gây ra tình trạng tăng sản thượng thận, dẫn đến tăng sản xuất cortisol. Các triệu chứng của bệnh bao gồm tăng huyết áp, tăng đường huyết, béo phì, suy nhược cơ, rậm lông, rối loạn kinh nguyệt, rụng tóc.",Bệnh có liên quan đến thay đổi di truyền ở gen APC có đặc điểm là bệnh có liên quan đến thay đổi di truyền ở gen APC.,0,0.26136363636363635,87,28,0.3218390804560708
Trong trường hợp quên liều Belara quá 12 giờ thì tình trạng sức khỏe sẽ bị ảnh hưởng như thế nào?,Tác dụng tránh thai của thuốc có thể giảm.,Nếu quá 12 giờ mới uống liều bị quên thì tác dụng tránh thai của thuốc có thể giảm.,2,0.6666666666666666,9,19,2.1111111108765432
Chẩn đoán hội chứng Jacobs dựa trên xét nghiệm nào?,Chẩn đoán hội chứng Jacobs dựa trên xét nghiệm phân tích nhiễm sắc thể.,Phân tích nhiễm sắc thể.,1,0.5142857142857142,14,5,0.35714285711734695
"Ngoài sự lo âu, lo lắng thì những yếu tố nào khác có thể dẫn đến tình trạng đái rắt?","Thuốc lợi tiểu, chẳng hạn như Chlorothiazide, có thể khiến bạn đi tiểu nhiều hơn.","Các yếu tố khác có thể dẫn đến tình trạng đái rắt bao gồm: thuốc lợi tiểu, thực phẩm và đồ uống hoạt động như thuốc lợi tiểu, thực phẩm và đồ uống hoạt động như thuốc lợi tiểu, tiểu không tự chủ, co thắt niệu đạo vô căn, quá trình xạ trị ở khung chậu để điều trị một bệnh ung thư nào đó, viêm túi thừa ruột kết, nơi các túi nhỏ, phình ra phát triển trong thành ruột già, nhiễm trùng lây truyền qua đường tình dục.",1,0.19393939393939394,15,90,5.9999999996
Benin chẩn đoán được bệnh sốt xuất huyết Lassa đầu tiên vào tháng nào?,Benin chẩn đoán được bệnh sốt xuất huyết Lassa đầu tiên vào tháng 11 năm 2014.,Vào tháng 11 năm 2014.,1,0.47058823529411764,16,5,0.31249999998046873
Phình đại tràng nhiễm độc là gì và có thể dẫn đến biến chứng nào?,"Phình đại tràng nhiễm độc là viêm loét đại tràng có thể viêm đoạn đại tràng lớn, phù nề. Biến chứng có thể xảy ra là thủng đại tràng, tạo một lỗ thủng dẫn đến bệnh cảnh nặng nề và người bệnh cần được phẫu thuật khẩn cấp.","Phình đại tràng nhiễm độc là tình trạng viêm loét đại tràng có thể viêm đoạn đại tràng lớn, phù nề.",1,0.5272727272727273,48,21,0.43749999999088546
Bài thuốc từ Rau Khúc được đắp lên vị trí nào trên cơ thể để điều trị bệnh Gút?,Bài thuốc từ Rau Khúc được đắp lên vị trí sưng đau trên cơ thể để điều trị bệnh Gút.,Bài thuốc từ Rau Khúc đắp lên vị trí sưng.,3,0.6976744186046512,20,10,0.499999999975
"Nêu tên một số loại nước uống trị cảm cúm, có thể kết hợp với chế độ ăn giải cảm cúm.","Chanh mật ong, nước chanh sả, trà gừng, trà bạc hà.","Một số loại nước uống trị cảm cúm, có thể kết hợp với chế độ ăn giải cảm cúm bao gồm chanh mật ong, nước chanh sả, trà gừng và trà bạc hà.",1,0.46874999999999994,11,33,2.999999999727273
Trình tự máu lưu thông trong tim và đến các bộ phận ra sao?,"Máu từ tâm nhĩ phải sẽ chảy vào tâm thất phải, sau đó được bơm vào phổi qua động mạch phổi để hấp thụ oxy và thải carbon dioxide. Máu giàu oxy sẽ về tâm nhĩ trái rồi đến tâm thất trái. Cuối cùng, tâm thất trái bơm máu qua động mạch chủ để đến các phần còn lại của cơ thể, sau đó máu sẽ quay trở lại tim qua các tĩnh mạch.",Máu lưu thông trong tim và đến phổi thông qua các tĩnh mạch.,1,0.2424242424242424,74,13,0.17567567567330167
"Nếu bác sĩ nghi ngờ các triệu chứng nổi mề đay kéo dài là do một bệnh lý tiềm ẩn nào đó, thì sẽ yêu cầu làm những xét nghiệm nào?","Bác sĩ sẽ yêu cầu làm một số xét nghiệm cần thiết, như xét nghiệm máu hay xét nghiệm da.",Xét nghiệm máu hay xét nghiệm da.,1,0.5217391304347826,20,7,0.3499999999825
Xét nghiệm sinh thiết gai nhau (CVS) là gì?,Xét nghiệm sinh thiết gai nhau (CVS) là một xét nghiệm được thực hiện để lấy một mẫu nhỏ tế bào từ nhau thai để kiểm tra xem thai nhi có mắc bệnh di truyền hoặc bất thường NST hay không.,Xét nghiệm sinh thiết gai nhau (CVS) là xét nghiệm thường quy trong thời gian thai kỳ.,1,0.4096385542168675,41,17,0.41463414633135043
Cơ vòng thực quản dưới nằm ở đâu?,Ở đầu dưới của thực quản.,Cơ vòng thực quản dưới nằm ở đầu dưới của cơ quan dạ dày.,0,0.4,6,14,2.3333333329444446
Hà thủ ô trắng được thu hái như thế nào?,Hà thủ ô trắng có thể được thu hái quanh năm.,"Hà thủ ô trắng được thu hái quanh năm, đào lấy rễ củ về rửa sạch, thái lát, phơi hoặc sấy khô. Có thể ngâm nước vo gạo 12 giờ rồi phơi hay sấy khô.",3,0.34375000000000006,11,35,3.1818181815289255
Bèo Nhật Bản được sử dụng dưới dạng nào?,Toàn cây dùng tươi.,"Toàn cây được sử dụng tươi, nhưng thường chỉ dùng lá, chủ yếu là phần phình của cuống lá.",3,0.41025641025641024,4,19,4.7499999988125
Viêm mạch là tình trạng mà thành mạch bị viêm do tác nhân nào gây ra?,Do bệnh tự miễn hoặc nhiễm trùng.,Viêm mạch là tình trạng mà thành mạch bị viêm do bệnh tự miễn hoặc nhiễm trùng gây ra.,0,0.5454545454545454,7,19,2.7142857138979593
Cây nhót chứa những thành phần hóa học nào có tác dụng chống oxy hóa và bảo vệ ADN?,"Cây nhót chứa các hợp chất phenolic và flavonoid, đây là những thành phần có khả năng chống oxy hóa cao. Ngoài ra, các thành phần này còn có tác dụng bảo vệ ADN khỏi những tổn thương do các gốc tự do gây ra.",Cây nhót chứa các thành phần phenolic và flavonoid có tác dụng chống oxy hóa và bảo vệ ADN.,3,0.4466019417475728,45,19,0.42222222221283956
Triệu chứng thường gặp của chứng ợ nóng là gì?,"Triệu chứng thường gặp của chứng ợ nóng là một cơn đau rát ở ngực thường xảy ra sau khi ăn, đôi khi cơn ợ nóng xảy ra vào ban đêm, vị đắng hoặc chua trong miệng và ợ nóng thường nặng hơn sau bữa ăn.",Triệu chứng thường gặp của chứng ợ nóng là đau rát ở ngực.,1,0.4651162790697675,46,13,0.28260869564603025
Mục đích chính của quá trình điều trị u tụy nội tiết bằng hóa trị là gì?,Tiêu diệt các tế bào ung thư.,Mục đích chính của quá trình điều trị u tụy nội tiết bằng hóa trị là tiêu diệt các tế bào ung thư.,1,0.4583333333333333,7,23,3.285714285244898
Những biểu hiện khác ngoài đau thường gặp ở người bị thoái hóa khớp ngón tay cái là gì?,"Ngoài đau, các biểu hiện khác có thể gặp là: - Sưng và cứng khớp ở nền ngón tay cái của bạn.","Sưng, cứng khớp ở nền ngón tay cái của bạn, cảm thấy yếu khi véo hoặc cầm nắm đồ vật, hạn chế khả năng vận động ngón cái, nền ngón cái sưng và có hình vuông do bán trật khớp cổ tay  bàn tay thứ nhất.",1,0.3272727272727273,22,46,2.0909090908140495
"Trong bài thuốc trị đái tháo đường, cây rau tầm bóp được sử dụng ở dạng nào?",Rễ tươi.,Rễ cây rau tầm bóp tươi.,3,0.4615384615384615,2,6,2.9999999985
Những tác dụng phụ phổ biến nhất của thuốc kem Avi-o5 là gì?,"Nóng, ngứa, đau rát…do kích ứng hoặc dị ứng.","Những tác dụng phụ phổ biến nhất của thuốc kem Avi-o5 bao gồm nóng, ngứa, đau rát... do kích ứng hoặc dị ứng.",2,0.5769230769230769,9,23,2.5555555552716047
"Trong rối loạn lưỡng cực, các giai đoạn trạng thái tâm trạng hoạt động như thế nào?","Trong rối loạn lưỡng cực, các giai đoạn trạng thái tâm trạng không theo một khuôn mẫu nhất định.","Trong rối loạn lưỡng cực, các giai đoạn trạng thái tâm trạng không theo một khuôn mẫu nhất định. Mức độ nghiêm trọng của nó khác nhau từ người này sang người khác và cũng có thể thay đổi theo thời gian mà trở nên nghiêm trọng hơn hoặc ít nghiêm trọng hơn.",1,0.5666666666666667,19,53,2.789473684063712
"Trong những biểu hiện thường gặp của bệnh nấm da đùi, xuất hiện tình trạng nào trên da?","Trong những biểu hiện thường gặp của bệnh nấm da đùi, trên da nổi mảng hình vòng có màu hồng hay đỏ.",Ban đỏ.,1,0.0,22,2,0.09090909090495868
"Dài lưỡi gà cũng được xem là một bất thường di truyền, nhưng liệu dài lưỡi gà có phải là nguyên nhân gây sưng lưỡi gà không?","Không, dài lưỡi gà không phải là nguyên nhân gây sưng lưỡi gà.","Có, dài lưỡi gà cũng là một tình trạng di truyền, trong đó lưỡi gà to hơn bình thường. Đôi khi nó cũng gây ra khó thở.",1,0.4193548387096774,13,27,2.076923076763314
Các tế bào gốc dùng trong liệu pháp ghép tế bào gốc được lấy từ đâu?,Trong tuỷ xương.,Các tế bào gốc có thể lấy từ trong tuỷ xương để nhân lên.,1,0.33333333333333337,3,14,4.666666665111111
Ung thư biểu mô ống xâm lấn là gì?,Ung thư biểu mô ống xâm lấn là loại ung thư vú xâm lấn phổ biến nhất.,"Ung thư biểu mô ống xâm lấn là loại ung thư bắt đầu trong các tế bào ống nhưng sau đó xâm lấn sâu hơn vào vú, khả năng lây lan sang các phần còn lại của cơ thể (di căn).",0,0.4883720930232558,17,41,2.4117647057404845
Loại viêm tuyến tiền liệt nào đôi khi không có triệu chứng?,Viêm mãn tính.,Viêm tuyến tiền liệt đôi khi không có triệu chứng.,1,0.3478260869565218,3,10,3.3333333322222223
Trong tháng nào người ta thường làm cách bào chế - Cưa nhung Nhung hươu?,"Tháng 2,3.","Vào tháng 2, 3 khi những cặp nhung đã đúng tuổi.",3,0.4210526315789474,2,11,5.49999999725
Khi nào cần đi khám bác sĩ nếu bị nổi hạch dưới hàm?,"Cần đi khám bác sĩ nếu hạch dưới hàm có cảm giác cứng như cao su khi chạm vào, cố định, không di chuyển, sưng hạch có đường kính từ 2 cm trở lên, sưng hạch kèm theo đổ mồ hôi ban đêm, đau bụng, sụt cân không rõ nguyên nhân hoặc sốt cao.","Khi bị nổi hạch dưới hàm, bạn cần đến khám bác sĩ để xác định chính xác tình trạng mà bạn gặp phải.",1,0.36363636363636365,54,23,0.42592592591803846
Mục đích của việc lặp lại hình ảnh học sau chẩn đoán là gì?,Mục đích của việc lặp lại hình ảnh học sau chẩn đoán là để đánh giá sự phát triển xương và phát hiện tổn thương khớp.,Đánh giá sự phát triển xương và phát hiện tổn thương khớp.,1,0.6451612903225806,26,12,0.46153846152071004
Viêm amidan mạn kéo dài có thể gây ra biến chứng gì?,"Viêm amidan mạn kéo dài có thể gây ra nhiều biến chứng nguy hiểm cho sức khỏe, chẳng hạn như viêm tai giữa, viêm mũi xoang, viêm thanh quản, viêm khí quản, áp xe quanh amidan, viêm khớp, viêm thận, viêm tim, thấp khớp, nhiễm trùng huyết, thậm chí tăng nguy cơ mắc ung thư hầu họng.","Viêm amidan mạn kéo dài có thể gây ra các biến chứng như khò khè, ngủ ngáy và nặng hơn là ngưng thở khi ngủ.",1,0.4,57,25,0.43859649122037553
"Trong giai đoạn đầu điều trị, thuốc Allopurinol 300 mg có thể gây nên tác dụng phụ gì?",Cơn đau gout cấp.,"Trong giai đoạn đầu điều trị, allopurinol có thể gây cơn gout cấp.",2,0.4166666666666667,4,13,3.2499999991875
Rượu nhục quế có liều lượng sử dụng như thế nào?,"Rượu nhục quế có liều dùng khoảng 6g nhục quế và một lượng rượu vừa đủ, giã nát nhục quế sau đó ngâm trong rượu trong 3 ngày, uống ấm.",Liều lượng sử dụng của nhục quế là 6g rượu vừa đủ.,3,0.3870967741935484,30,12,0.3999999999866667
"Khi chế biến, phần nào của cây Sa nhân không được bóc vỏ trước khi phơi sấy?",Quả Sa nhân không được bóc vỏ trước khi phơi sấy.,"Quả của cây Sa nhân không được bóc vỏ trước khi phơi sấy vì làm như vậy dược liệu sẽ kém phẩm chất, mất nhiều tinh dầu và hạt dễ vỡ vụn.",3,0.4927536231884058,11,32,2.909090908826446
Nếu đột biến gen BRCA có xu hướng liên quan đến các loại ung thư nào?,Các loại ung thư có cấp độ khối u cao hơn.,Đột biến gen BRCA có xu hướng liên quan đến các bệnh ung thư có cấp độ khối u cao hơn và các loại ung thư vú ba âm tính khó điều trị hơn.,0,0.4262295081967213,11,34,3.090909090628099
Thời gian ngâm chân trong nước thuốc lá trầu không là bao lâu?,Ngâm chân trong 15 phút.,Thời gian ngâm chân trong nước thuốc lá trầu không là 15 phút.,3,0.5517241379310345,5,13,2.59999999948
Bộ phận nào của cây Nữ lang được sử dụng để làm thuốc?,Bộ phận được sử dụng để làm thuốc là rễ và thân rễ của cây Nữ lang.,Rễ và thân rễ của cây.,3,0.5625,17,6,0.352941176449827
Lưu ý nào cần ghi nhớ về việc sử dụng liều Avarino 300 Mega?,Không nên dùng gấp đôi liều đã chỉ định.,"Nếu bạn quên một liều thuốc, hãy bổ sung ngay khi nhớ ra. Nhưng nếu gần với liều kế tiếp, hãy dùng liều kế tiếp vào thời điểm dự kiến và bỏ qua liều đã quên.",2,0.2535211267605634,9,36,3.9999999995555555
Acid nalidixic thuộc nhóm thuốc nào?,Acid nalidixic thuộc nhóm thuốc Quinolon kháng khuẩn.,"Acid nalidixic là thuốc kháng khuẩn phổ rộng, tác dụng với hầu hết các vi khuẩn Gram âm E. coli, Proteus, Klebsiella. Enterobacter thờng nhạy cảm với thuốc.",2,0.2807017543859649,8,28,3.4999999995625
Có nên ăn đường khi bị mụn trứng cá hay không?,Không nên ăn đường vì ăn một chế độ ăn uống lành mạnh với lượng đường tối thiểu sẽ giúp ngăn ngừa mụn trứng cá quay trở lại.,Không nên ăn đường khi bị mụn trứng cá.,1,0.3928571428571428,28,9,0.32142857141709186
Tác dụng của Aspirin MKP 81 đối với phụ nữ có thai là gì?,Aspirin có thể làm chậm quá trình chuyển dạ.,"Aspirin MKP 81 có khả năng ức chế tăng tạo Prostaglandin, dẫn đến đóng sớm ống động mạch trong tử cung, cũng là nguy cơ nghiêm trọng gây tăng huyết áp động mạch phổi và suy hô hấp ở trẻ sơ sinh.",2,0.17391304347826086,9,42,4.666666666148148
Tỷ lệ bệnh nhân bị viêm cân gan chân có gai xương gót chân kèm theo là bao nhiêu?,Khoảng 70%.,Khoảng 70% các trường hợp bệnh nhân bị viêm cân gan chân có gai xương gót chân kèm theo.,0,0.17142857142857143,2,19,9.49999999525
"Khi sử dụng thuốc Cotrimstada Forte, cần lưu ý điều gì?","Cần đọc kỹ hướng dẫn sử dụng trước khi dùng thuốc, nếu có bất kỳ vấn đề gì trong quá trình dùng thuốc hãy liên hệ với bác sĩ để được tư vấn kịp thời.","Khi sử dụng thuốc Cotrimstada Forte, cần đọc kỹ hướng dẫn trước khi sử dụng.",2,0.3466666666666666,35,15,0.42857142855918373
Liều dùng thuốc A.T Desloratadin quy cách ống uống 5 mL1 dành cho trẻ em từ 6 – 11 tuổi là gì?,Đối tượng trẻ em từ 6 – 11 tuổi uống 1 ống/ngày.,Uống 1 ống/ngày.,2,0.5454545454545454,12,3,0.24999999997916666
Nhiễu loạn cảm xúc ảnh hưởng tới những lĩnh vực nào trong đời sống con người?,"Có thể dẫn tới cô lập cộng đồ‌ng xã hội, mất niề‌m tin, nhạy cảm, thâ‌̀m cảm, lo lắng vu‌ô‌̣t mư‌́c khiến ngườ‌i bệnh không thể sốn bìn‌h thườ‌ng, vợ‌n bỏ những hoạt độ‌ng thường nhật, giảm na‌ng suất lao độ‌ng và chẩ‌n đoá‌n sai mang cá‌c bê‌nh: Bướu giáp, đ0á thá‌i đường và nhồ‌i mứ‌t ty‌m.",Nhiễu loạn cảm xúc ảnh hưởng tới công việc và học tập.,1,0.20168067226890754,57,12,0.21052631578578027
Synapse điện được tìm thấy ở đâu?,Trong khắp hệ thống thần kinh trung ương.,"Synapse điện được tìm thấy ở những nơi cần hành động nhanh, ví dụ như trong các phản xạ phòng thủ.",0,0.1951219512195122,8,21,2.624999999671875
Bệnh nhân sau khi bị cháy nắng có được sử dụng Anapa không?,Không. Các đối tượng bị cháy nắng khuyến cáo không được dùng Anapa cho đến khi da phục hồi hoàn toàn để tránh nguy cơ tăng kích ứng và gây hại thêm cho vùng da bị cháy nắng.,Bệnh nhân bị cháy nắng được khuyên không nên dùng thuốc cho đến khi da phục hồi hoàn toàn.,2,0.5054945054945055,38,19,0.49999999998684214
Nứt hậu môn là gì?,Nứt hậu môn là vết rách nhỏ ở niêm mạc ống hậu môn.,"Nứt hậu môn là tình trạng tổn thương ở niêm mạc ống hậu môn, thường xảy ra khi có ngoại vật tác động lực lên hậu môn.",0,0.5373134328358209,13,27,2.076923076763314
Rau mương có đặc điểm gì?,Rau mương là loại cây ưa ẩm ướt.,"Rau mương là loại cây ưa ẩm ướt, mọc ở ven các ngòi nước, hồ nước, bờ đê, gò ruộng, ruộng cạn dần,...",3,0.5,8,23,2.874999999640625
Thuốc Aescin có những thành phần hoạt chất nào?,Thuốc Aescin có thành phần hoạt chất là escin.,"Thuốc Aescin có thành phần hoạt chất là escin với các đặc tính dược lý chống phù nề và kháng viêm, ảnh hưởng đến trương lực tĩnh mạch, và bảo vệ tổn thương do thiếu oxy nội mạc.",2,0.37333333333333335,9,38,4.2222222217530865
Biểu hiện điển hình của bệnh tăng bạch cầu đơn nhân nhiễm trùng là gì?,"Biểu hiện điển hình của bệnh là tình trạng khó chịu và sốt. Sau đó, người bệnh sẽ cảm thấy đau họng và nổi hạch cổ.",Biểu hiện điển hình của bệnh là tình trạng khó chịu và sốt.,1,0.7076923076923077,26,13,0.4999999999807692
Các phương pháp điều trị quá liều Amoxicillin 500 mg Mekophar?,"Xử trí khi quá liều chia làm ba phương pháp: không có thuốc giải độc, loại bỏ thuốc hấp thụ qua đường uống, và cân bằng nước – điện giải.",Có thể loại bỏ amoxicillin bằng phương pháp thẩm phân máu.,2,0.22222222222222218,30,11,0.3666666666544444
Liều lượng của thuốc bổ mắt Augen Extra là bao nhiêu?,"Uống 1 viên/lần, uống 1 lần vào mỗi ngày.","Liều lượng thông thường là 1 viên/lần, uống 1 lần vào mỗi ngày với nước lọc hoặc nước đun sôi để nguội.",2,0.6206896551724138,9,22,2.4444444441728397
Tại sao chẩn đoán bệnh động mạch vành có thể phức tạp?,Do biểu hiện không điển hình.,Chẩn đoán bệnh động mạch vành có thể phức tạp do biểu hiện không điển hình.,1,0.5641025641025641,6,16,2.666666666222222
Phương pháp nào được sử dụng đầu tiên để trấn an những người bị loạn thần đang kích động?,Phương pháp được sử dụng đầu tiên để trấn an những người bị loạn thần đang kích động là sử dụng lời nói.,Sử dụng lời nói.,1,0.33333333333333337,23,4,0.17391304347069944
Babi B.O.N có tác dụng như thế nào đối với trẻ nhỏ?,"Babi B.O.N phòng ngừa hoặc điều trị các bệnh liên quan đến thiếu vitamin D như còi xương, chậm lớn, suy dinh dưỡng và giúp trẻ phát triển chiều cao tốt hơn.","Babi B.O.N giúp trẻ sinh non, sinh đôi hoặc sinh ba.",2,0.2058823529411765,32,11,0.34374999998925787
Thuốc giảm co thắt bàng quang có thể có những tác dụng không mong muốn nào?,"Khô miệng, táo bón, ợ chua, giảm tập trung, tăng nhịp tim, buồn ngủ.","Thuốc giảm co thắt bàng quang có thể có những tác dụng không mong muốn như khô miệng, táo bón, ợ chua, giảm tập trung, tăng nhịp tim và buồn ngủ.",1,0.6176470588235294,14,31,2.214285714127551
Thuật ngữ y khoa mô tả tình trạng người phụ nữ phát triển các đặc điểm cơ thể do tăng sản xuất hormone androgen là gì?,Nam hóa.,"Thuật ngữ y khoa mô tả tình trạng người phụ nữ phát triển các đặc điểm cơ thể do tăng sản xuất hormone androgen là hói đầu kiểu nam, giọng trầm, lông mọc nhiều ở nơi không phù hợp như cằm, ria mép.",1,0.05882352941176471,2,43,21.49999998925
Thành phần chủ yếu trong quả Xuyên tiêu là gì?,"Thành phần chủ yếu trong quả Xuyên tiêu là tinh dầu, chiếm khoảng 0,7 – 9% tùy loại cây và nơi mọc.",Thành phần chủ yếu trong quả Xuyên tiêu là tinh dầu.,3,0.6538461538461539,22,11,0.49999999997727274
"Trong bài thuốc, để chữa viêm họng, họng sưng đau thì cần dùng bộ phận nào của cây mướp hương?",Cần sử dụng lá mướp tươi.,Lá mướp hương.,3,0.4,6,3,0.49999999991666666
Phèn đen có tác dụng gì trong chữa mụn nhọt độc?,"Phèn đen có tác dụng diệt khuẩn, giảm sưng, tiêu độc, giúp mụn nhọt nhanh chóng khỏi hơn.",Phèn đen có tác dụng chữa mụn nhọt độc.,3,0.5106382978723405,18,9,0.4999999999722222
Tại sao tinh hoàn ẩn lại ảnh hưởng đến khả năng sinh sản ở nam giới?,"Tinh hoàn ẩn làm giảm khả năng sinh sản ở nam giới do nó có thể dẫn đến nhiệt độ cao hơn ở tinh hoàn, ảnh hưởng đến quá trình sản xuất tinh trùng.",Tinh hoàn ẩn có thể làm giảm khả năng sinh sản ở nam giới.,1,0.5230769230769231,34,14,0.4117647058702423
Những tác dụng phụ liên quan đến hệ tiêu hóa khi dùng thuốc Cataflam là gì?,"Đau bụng, chảy máu đường tiêu hóa, nôn ra máu, tiêu ra máu, làm ổ loét tiến triển.","Những tác dụng phụ liên quan đến hệ tiêu hóa khi dùng thuốc Cataflam bao gồm nổi mày đay, ù tai, nhức đầu, bồn chồn, viêm màng não vô khuẩn, nhìn mờ, điểm tối thị giác, đau nhức mắt, nhìn đôi, buồn ngủ, ngủ gật, trầm cảm, mất ngủ, lo âu, khó chịu, dễ bị kích thích, viêm bàng quang, đái máu, suy thận cấp, viêm thận kẽ, hội chứng thận hư.",2,0.22222222222222224,18,72,3.9999999997777778
Phối hợp Avodart với thuốc gì cũng giúp điều trị phì đại tuyến tiền liệt?,Phối hợp Avodart với tamsulosin (được sử dụng để điều trị các triệu chứng của một tiền liệt tuyến) cũng giúp điều trị phì đại tuyến tiền liệt.,Phối hợp Avodart với tamsulosin cũng giúp điều trị phì đại tuyến tiền liệt.,2,0.6666666666666666,28,14,0.49999999998214284
Bảo quản thuốc Allerphast ở nhiệt độ nào?,Bảo quản thuốc Allerphast ở nhiệt độ không quá 30°C.,Nhiệt độ không quá 30C.,2,0.5,10,5,0.49999999995
Tại sao nên thận trọng khi lái xe hoặc vận hành máy móc khi sử dụng thuốc Ceritine?,"Vì thuốc Ceritine có thể gây ra hiện tượng ngủ gà, làm giảm sự tập trung và khả năng phản ứng, dễ gây ra tai nạn khi lái xe hoặc vận hành máy móc.",Vì dễ gây nguy hiểm.,2,0.1724137931034483,34,5,0.1470588235250865
Thuốc Azithromycin DHG còn chống chỉ định sử dụng cho đối tượng bệnh nhân nào?,Người có tiền căn dị ứng với Azithromycin.,Người có tiền căn dị ứng với Azithromycin hoặc bất kỳ kháng sinh nào thuộc nhóm macrolid.,2,0.6153846153846153,8,17,2.124999999734375
